text,popularity,risk,meaning1,meaning2,meaning3,meaning4,meaning5,pinyin,readings
que,22330713,,that (connecting noun clause),that (introducing the result of the main clause),"than (used in comparisons, to introduce the basis of comparison)",seeing as; since; for; because (introduces explanatory clause),"and (indicating the consequences of an action, often threateningly)",,
a,21942504,,"The first letter of the Portuguese alphabet, written in the Latin script.",alternative form of á,,
o,21166489,,"The fifteenth letter of the Portuguese alphabet, called ó and written in the Latin script.",the (the definite grammatical article that shows that the noun phrase that immediately follows it is definitely identifiable...),Makes any phrase into a substantive.,"him, it (as a direct object; as an indirect object, see lhe; after prepositions, see ele)",,
não,17875604,,not; don't; haven't (negates the meaning of the verb or adverb),non- (forms antonyms of adjectives),isn't it? right? (tag question),no (used to show disagreement or negation),no (used to show agreement with a negative question),,
de,15390089,,of (in relation to),of; -en (made or consisting of),of (introduces the noun that applies a given adjective or past participle),from (born in or coming out of),by means of; by,,
é,12158417,,third-person singular present indicative of ser,The name of the Latin script letter E/e.,Indicates agreement; that's right; yes; yeah.,Used in hesitant speech; erm; um.,,
e,10244749,,"The fifth letter of the Portuguese alphabet, called ê or é and written in the Latin script.","and (connects two clauses indicating that the events occurred together, one after the other or without any special implication)",and (connects the last and penultimate elements in a list),what about,and (connects every element of a list),,
um,7793722,,one,"a, an","the figure or digit ""1"": one",a person; one; someone,element(s) of a previously mentioned class: one; some (in the plural),,
para,7211513,,"for (directed at, intended to belong to or to be appropriate for)",indicates application of an adjective; to,to; so; in order to (indicates purpose),towards; to; in the direction of (indicates destination),"introduces the location, direction or context that applies to a verb",,
eu,6267374,,I (first-person singular personal pronoun),first-person singular prepositional pronoun; me,ego; self (individual person as the object of his own reflective consciousness),Used to draw attention to oneself after having their name called.,,
uma,5734457,,feminine of um,feminine singular of um,,
está,5042669,,inflection of estar,inflection of estar:,,
se,4707141,,abbreviation of Sergipe: a state of Brazil,,
com,4677391,,with; against,with; alongside; together with (in the company of),with (as a part or accessory of),with (in support of),with; using (by means of),,
do,4494780,,"contraction of de + o, literally “of the, from the, -'s (masculine singular)”",,
por,4231446,,for (on behalf of),for (in order to obtain),for (over a period of time),for (indicates something given in an exchange),by (through the action or presence of),,
os,3814966,,masculine plural of o,third-person plural direct objective personal pronoun; them,plural of o,,
ele,3716750,,third-person masculine singular nominative personal pronoun; he; it,third-person masculine singular prepositional pronoun; him; it,third-person masculine singular personal pronoun used in all positions; he; him; it,The name of the Latin script letter L/l.,,
bem,3664814,,well; accurately; competently,well; fairly; rather (to a significant degree),very; really (to a high degree),well; all right; fine; OK (healthy; not wounded or sick),well; all right; fine; OK (feeling good),,
em,3631723,,in; inside; within (contained by),on; on top of (located just above the surface of),in; at (located in a location),in (part of; a member of),in; into; inside (towards the inside of),,
mas,3602284,,but (introduces a clause that contradicts the implications of the previous clause),but (introduces the correct information for something that was denied in the previous clause),"but ... really; of course; no wonder (introduces the cause of the previous clause, with the implication that the result was expected given this cause)",Emphasises an exclamation.,"emphasises a previous clause, adverb or adjective; really; and how",,
da,3451947,,"contraction of de + a, literally “of/from the (feminine singular)”: feminine singular of do",obsolete spelling of dá,,
isso,3438505,,that (the thing near you; the thing mentioned that concerns you),this (the thing near me; the thing mentioned that concerns me),"correct, that's it, that's right; akin to English this!",yeah! (expresses joy or celebration),,
