text,popularity,risk,meaning1,meaning2,meaning3,meaning4,meaning5,pinyin,readings
我,9433564,,I; me; my,wo3,
的,7934880,,of; ~'s (possessive particle),(used after an attribute when it modifies a noun),(used at the end of a declarative sentence for emphasis),de5,
你,6871174,,"you (informal, as opposed to courteous 您[nin2])",ni3,
是,5400013,,to be (followed by substantives only),correct; right; true,(respectful acknowledgement of a command) very well,shi4,
了,4435793,,(completed action marker),"(modal particle indicating change of state, situation now)",(modal particle intensifying preceding clause),le5,
不,4378171,,no; not so,(bound form) not; un-,bu4,
一,2972376,,one,single,a (article),yi1,
们,2889621,,"plural marker for pronouns, and nouns referring to individuals",men5,
这,2804343,,(pronoun) this; these,(bound form) this; the (followed by a noun),"(bound form) this; these (followed by a classifier) (in this sense, commonly pr. [zhei4], esp. in Beijing)",zhe4,
他,2634196,,"(third-person singular) (since the early 20th century, usu. male) he; him; his",(bound form) other; another; some other (as in 他日[ta1 ri4] and 他人[ta1 ren2]),ta1,
在,2580076,,to exist; to be alive,(of sb or sth) to be (located) at,(used before a verb to indicate an action in progress),zai4,
有,2537407,,to have; there is,(bound form) having; with; -ful; -ed; -al (as in 有意[you3 yi4] intentional),you3,
么,2269660,,exclamatory final particle,ma2,
好,1928072,,good,appropriate; proper,all right!,hao3,
人,1902879,,person; people,"CL:個|个[ge4],位[wei4],名[ming2]",ren2,
要,1796717,,(bound form) to demand; to coerce,yao1,
个,1778278,,used in 自個兒|自个儿[zi4 ge3 r5],ge3,
来,1720696,,to come,(used as a substitute for a more specific verb),"hither (directional complement for motion toward the speaker, as in 回來|回来[hui2 lai5])",lai2,
那,1567002,,surname Na,Na1,
什,1500562,,what,shen2,
就,1442659,,(after a suppositional clause) in that case; then,(after a clause of action) as soon as; immediately after,(same as 就是[jiu4 shi4]) merely; nothing else but; simply; just; precisely; exactly,jiu4,
会,1412884,,can; to have the skill; to know how to,to be likely to; to be sure to,to meet; to get together,hui4,
到,1403523,,to reach; to arrive,to leave for; to go to,to (a place); until (a time); up to (a point),dao4,
吗,1282172,,(coll.) what?,ma2,
